"Tabela 1.3.5.3 - Despesa monetária e não monetária média mensal familiar, com alimentação,",,,,,,,,
"por classes de rendimento total e variação patrimonial mensal familiar, segundo os tipos de despesa,",,,,,,,,
com indicação do número e tamanho médio das famílias - Pará - período 2017-2018,,,,,,,,
,,,,,,,(continua),
   Maçã,"1,44","0,82","1,07","2,00","2,18","3,35","6,64",-
   Outras frutas,"7,71","3,44","8,01","8,96","12,16","24,83","33,06","52,49"
"  Carnes, vísceras e pescados","135,75","100,68","140,17","145,63","247,89","226,08","125,72","282,70"
   Carne de boi de primeira,"23,69","10,07","19,70","25,48","73,00","77,67","57,84","73,12"
   Carne de boi de segunda,"23,95","19,10","29,11","24,98","29,07","47,09","14,36","39,06"
   Carne de suíno,"4,27","3,16","5,43","5,64","5,21","1,31",-,"2,18"
   Carnes e peixes industrializados,"20,40","17,64","20,17","22,87","21,83","34,32","8,86","106,14"
   Pescados frescos,"32,52","25,33","41,15","32,09","50,29","43,89","24,13","26,45"
   Outros,"30,93","25,38","24,61","34,57","68,49","21,80","20,53","35,76"
  Aves e ovos,"53,29","49,31","48,58","53,27","73,53","70,95","41,05","216,32"
   Frango,"43,40","42,08","40,79","44,78","57,43","32,76","23,03","86,50"
,,,,,,,,
,,,,,,,,
,,,,,,,,
"Tabela 1.3.5.3 - Despesa monetária e não monetária média mensal familiar, com alimentação,",,,,,,,,
"por classes de rendimento total e variação patrimonial mensal familiar, segundo os tipos de despesa,",,,,,,,,
com indicação do número e tamanho médio das famílias -  Pará - período 2017-2018,,,,,,,,
,,,,,,,(conclusão),
"Tipos de despesa,
número e tamanho médio
 das famílias","Despesa monetária e não monetária média mensal familiar, com alimentação (R$)                    ",,,,,,,
,Total                                                                           ,Classes de rendimento total e variação patrimonial mensal familiar (1) ,,,,,,
,,Até 1 908        (2),"Mais de
1 908
a
2 862","Mais de
2 862
a
5 724","Mais de
5 724
a
9 540","Mais de
9 540
a
14 310","Mais de
14 310
a
23 850","Mais de
23 850"
   Ovo de galinha,"8,34","5,80","7,19","7,39","10,54","38,19","18,02","110,97"
   Orgânicos,"0,01","0,03",-,-,-,-,-,-
   Outros,"1,55","1,41","0,60","1,10","5,57",-,-,"18,85"
  Leites e derivados,"31,36","18,86","29,55","36,23","72,49","48,13","34,38","174,65"
   Leite de vaca,"4,00","2,05","3,71","4,90","10,42","1,52","0,82","55,56"
   Leite em pó,"13,31","10,42","14,02","16,57","18,67","19,05","2,61","2,96"
   Queijos,"3,19","0,79","2,81","3,69","9,92","10,33","4,73","51,88"
   Light e diet,"0,09",-,-,"0,22","0,04",-,-,"6,86"
   Orgânicos,"0,02",-,-,"0,08",-,-,-,-
   Outros,"10,75","5,59","9,02","10,76","33,44","17,23","26,22","57,39"
  Panificados,"33,53","21,79","31,15","41,88","54,45","65,48","80,06","55,94"
   Pão francês,"15,84","10,38","14,96","21,36","29,04","26,22","8,68","12,52"
   Biscoito,"9,46","6,76","10,18","10,44","12,62","6,23","40,21","7,18"
   Light e diet,"0,08","0,01","0,08",-,-,-,-,"12,02"
   Outros panificados,"8,16","4,65","5,94","10,08","12,79","33,03","31,17","24,23"
  Óleos e gorduras,"7,63","5,28","7,07","8,14","10,91","2,22","42,97","38,32"
   Óleo de soja,"5,23","4,67","5,44","6,57","5,44","2,22","1,17","5,79"
   Azeite de oliva,"1,93","0,24","1,14","1,43","3,84",-,"41,05","26,95"
   Outros,"0,47","0,38","0,49","0,14","1,63",-,"0,75","5,58"
  Bebidas e infusões,"66,40","38,76","60,61","75,06","93,37","96,30","466,81","94,59"
   Café moído,"10,11","9,40","11,69","10,45","12,27","4,53","0,61","20,59"
   Refrigerantes,"8,30","6,04","8,06","8,18","12,32","15,88","31,43","27,01"
   Bebidas não alcoólicas light e diet,"0,32",-,"0,08","0,08","0,11","4,32","8,64","2,49"
   Cervejas e chopes,"5,47","1,34","7,21","10,90","8,02","2,63","4,30","2,43"
   Outras bebidas alcoólicas,"8,42","0,68","1,41","1,46","1,05",-,"371,95","17,51"
   Outras,"33,78","21,30","32,15","44,00","59,60","68,94","49,88","24,57"
  Enlatados e conservas,"4,30","3,43","6,12","4,41","4,26","3,17","1,55","18,89"
  Sal e condimentos,"7,28","5,38","6,64","9,42","12,12","8,29","1,68","27,61"
   Massa de tomate,"0,34","0,38","0,32","0,26","0,10","0,29",-,"7,17"
   Maionese,"0,29","0,14","0,17","0,48","0,96",-,-,-
   Sal refinado,"0,56","0,53","0,56","0,60","0,73","0,60","0,19",-
   Outros,"6,09","4,33","5,60","8,09","10,33","7,40","1,48","20,44"
  Alimentos preparados,"8,88","3,66","9,64","12,82","14,52","23,68","7,34","82,83"
  Outros alimentos,"38,21","35,15","13,29","35,34","115,44","0,49","76,50","151,47"
 Alimentação fora do domicílio,"123,24","53,22","92,67","130,38","196,36","247,04","1397,61","217,28"
  Almoço e jantar,"79,79","30,97","52,38","77,62","121,68","201,27","1105,14","187,29"
"  Café, leite, café/leite e chocolate","1,16","0,59","1,18","1,35","3,54","0,17","2,37",-
  Sanduíches e salgados,"10,58","6,72","7,86","16,00","20,51","16,69","7,59","2,38"
  Refrigerantes e outras bebidas não alcoólicas ,"6,53","3,42","6,29","9,68","9,95","7,45","22,08","6,97"
  Lanches,"12,37","4,21","8,35","10,02","21,77","9,71","222,41","16,82"
"  Cervejas, chopes e outras bebidas alcoólicas ","8,33","5,22","11,54","9,97","11,88","6,79","13,18",-
  Alimentação light e diet,"0,02","0,02",-,"0,04","0,06",-,-,-
  Outras,"4,47","2,07","5,07","5,69","6,96","4,96","24,84","3,82"
Número de famílias,2 358 790,1 016 312, 458 216, 578 157, 195 157, 52 847, 46 394, 11 707
Tamanho médio da família,"3,58","3,33","3,59","3,83","4,05","3,57","3,69","3,12"
,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa de Orçamentos Familiares 2017-2018.",,,,,,,,
"Nota: O termo família está sendo utilizado para indicar a unidade de investigação da pesquisa, unidade de consumo, conforme descrito na Introdução da pesquisa.",,,,,,,,
(1) Inclui os rendimentos monetário e não monetário e a variação patrimonial. (2) Inclusive sem rendimento.,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"

",,,,,,,,
