"Tabela 1.3.22.3 - Despesa monetária e não monetária média mensal familiar, com alimentação,",,,,,,,,
"por classes de rendimento total e variação patrimonial mensal familiar, segundo os tipos de despesa,",,,,,,,,
com indicação do número e tamanho médio das famílias - Santa Catarina - período 2017-2018,,,,,,,,
,,,,,,,(continua),
   Maçã,"3,59","1,95","1,96","2,71","5,99","4,47","5,76","9,77"
   Outras frutas,"17,42","23,79","8,37","11,99","21,87","19,42","34,97","64,32"
"  Carnes, vísceras e pescados","93,06","44,32","66,37","82,01","115,21","134,15","169,42","244,70"
   Carne de boi de primeira,"28,16","7,49","12,07","21,46","36,01","58,93","68,09","110,77"
   Carne de boi de segunda,"18,76","13,92","14,82","16,84","24,99","24,44","7,38","50,23"
   Carne de suíno,"10,05","4,32","9,50","10,46","10,95","15,19","8,47","12,34"
   Carnes e peixes industrializados,"21,77","12,95","19,57","21,04","26,17","24,73","30,56","29,16"
   Pescados frescos,"3,17","0,23","1,59","1,44","3,45","6,67","15,86","23,62"
   Outros,"11,14","5,41","8,81","10,77","13,63","4,20","39,06","18,57"
  Aves e ovos,"34,35","21,60","26,80","31,47","43,64","45,99","45,24","54,26"
   Frango,"22,84","14,97","17,89","21,62","29,18","29,74","29,39","20,67"
,,,,,,,,
,,,,,,,,
,,,,,,,,
"Tabela 1.3.22.3 - Despesa monetária e não monetária média mensal familiar, com alimentação,",,,,,,,,
"por classes de rendimento total e variação patrimonial mensal familiar, segundo os tipos de despesa,",,,,,,,,
com indicação do número e tamanho médio das famílias - Santa Catarina - período 2017-2018,,,,,,,,
,,,,,,,(conclusão),
"Tipos de despesa,
número e tamanho médio
 das famílias","Despesa monetária e não monetária média mensal familiar, com alimentação (R$)                    ",,,,,,,
,Total                                                                           ,Classes de rendimento total e variação patrimonial mensal familiar (1) ,,,,,,
,,Até 1 908        (2),"Mais de
1 908
a
2 862","Mais de
2 862
a
5 724","Mais de
5 724
a
9 540","Mais de
9 540
a
14 310","Mais de
14 310
a
23 850","Mais de
23 850"
   Ovo de galinha,"8,55","4,95","6,15","8,32","9,41","13,16","10,32","21,12"
   Orgânicos,"0,44",-,-,-,"0,32",-,"4,02","11,69"
   Outros,"2,52","1,68","2,75","1,53","4,73","3,09","1,51","0,77"
  Leites e derivados,"57,96","35,17","52,11","51,87","65,29","79,11","109,85","82,26"
   Leite de vaca,"21,77","14,16","20,95","21,52","25,35","26,04","25,22","14,47"
   Leite em pó,"2,74","1,49","2,33","2,71","2,10","3,36","8,11","7,16"
   Queijos,"14,55","5,75","11,46","11,68","16,36","24,15","39,18","36,67"
   Light e diet,"0,81","0,15","0,12","0,78","0,38","2,41","4,28","0,82"
   Orgânicos,"0,18","1,35","0,05",-,"0,05",-,-,-
   Outros,"17,91","12,26","17,20","15,18","21,06","23,14","33,08","23,15"
  Panificados,"52,39","37,06","42,30","50,02","62,88","59,28","73,02","87,02"
   Pão francês,"14,51","14,05","10,02","13,42","17,67","17,91","18,23","16,21"
   Biscoito,"12,64","7,55","10,47","11,94","17,94","9,87","17,06","21,38"
   Light e diet,"0,50","0,27","0,22","0,18","0,72","1,15","1,40","3,12"
   Outros panificados,"24,75","15,20","21,58","24,49","26,55","30,35","36,33","46,30"
  Óleos e gorduras,"7,65","4,73","7,00","7,63","7,96","7,05","14,86","16,19"
   Óleo de soja,"4,06","2,58","4,10","4,57","4,63","2,91","3,67","3,00"
   Azeite de oliva,"1,38","0,77","1,29","0,73","1,81","3,32","2,56","2,95"
   Outros,"2,21","1,38","1,62","2,33","1,52","0,83","8,63","10,24"
  Bebidas e infusões,"65,58","33,48","46,31","59,39","82,73","87,84","102,44","180,38"
   Café moído,"11,20","8,17","12,91","11,39","12,59","9,06","10,23","9,77"
   Refrigerantes,"14,71","7,21","11,81","15,20","19,64","16,32","16,58","9,45"
   Bebidas não alcoólicas light e diet,"0,35","0,02","0,27","0,27","0,45","0,83","0,68","0,48"
   Cervejas e chopes,"17,68","8,54","8,33","14,99","24,34","29,96","27,75","53,55"
   Outras bebidas alcoólicas,"6,19","1,34","2,62","4,01","6,12","11,80","19,25","58,56"
   Outras,"15,44","8,20","10,37","13,53","19,59","19,88","27,95","48,58"
  Enlatados e conservas,"5,29","1,97","3,15","5,24","7,53","5,90","9,78","7,19"
  Sal e condimentos,"12,66","5,43","13,43","11,99","13,88","13,58","23,07","26,66"
   Massa de tomate,"1,29","1,01","1,23","1,28","1,60","0,95","1,47","1,35"
   Maionese,"2,56","0,75","2,28","2,47","2,88","3,58","4,51","5,75"
   Sal refinado,"0,79","0,45","0,91","0,78","0,84","0,86","0,97","0,51"
   Outros,"8,03","3,22","9,00","7,46","8,56","8,19","16,12","19,06"
  Alimentos preparados,"16,97","5,77","12,04","12,07","30,80","22,86","24,84","29,48"
  Outros alimentos,"37,30","14,53","32,07","29,61","49,85","70,81","71,46","9,44"
 Alimentação fora do domicílio,"192,59","64,52","86,42","135,95","234,40","408,78","618,73","628,39"
  Almoço e jantar,"123,77","34,08","45,13","81,17","140,55","283,62","519,58","411,19"
"  Café, leite, café/leite e chocolate","2,01","0,46","1,17","1,36","2,86","5,75","2,46","4,30"
  Sanduíches e salgados,"19,93","8,44","8,73","14,68","32,32","36,81","31,29","48,98"
  Refrigerantes e outras bebidas não alcoólicas ,"6,23","3,24","5,16","4,72","7,76","10,66","10,64","17,58"
  Lanches,"5,85","1,30","1,15","3,56","7,25","15,75","25,33","15,63"
"  Cervejas, chopes e outras bebidas alcoólicas ","16,36","9,21","8,15","11,25","20,44","32,17","19,75","108,47"
  Alimentação light e diet,"0,16",-,"0,06","0,17","0,27","0,35",-,"0,36"
  Outras,"18,27","7,78","16,86","19,05","22,95","23,69","9,68","21,88"
Número de famílias,2 528 693, 301 491, 377 381, 957 219, 524 458, 220 763, 102 021, 45 360
Tamanho médio da família,"2,78","2,12","2,34","2,83","3,17","3,06","3,05","3,15"
,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa de Orçamentos Familiares 2017-2018.",,,,,,,,
"Nota: O termo família está sendo utilizado para indicar a unidade de investigação da pesquisa, unidade de consumo, conforme descrito na Introdução da pesquisa.",,,,,,,,
(1) Inclui os rendimentos monetário e não monetário e a variação patrimonial. (2) Inclusive sem rendimento.,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"

",,,,,,,,
