"Tabela 1.3.11.3 - Despesa monetária e não monetária média mensal familiar, com alimentação,",,,,,,,,
"por classes de rendimento total e variação patrimonial mensal familiar, segundo os tipos de despesa,",,,,,,,,
com indicação do número e tamanho médio das famílias - Rio Grande do Norte - período 2017-2018,,,,,,,,
,,,,,,,(continua),
   Maçã,"2,31","1,44","1,83","2,78","3,79","2,55","5,75","3,65"
   Outras frutas,"13,78","7,43","9,18","16,00","21,37","37,46","34,29","45,31"
"  Carnes, vísceras e pescados","85,91","58,18","92,52","86,31","103,52","135,15","129,01","294,85"
   Carne de boi de primeira,"13,00","5,70","9,54","9,77","18,60","43,63","54,43","123,94"
   Carne de boi de segunda,"12,83","8,62","14,31","14,31","11,59","9,48","13,14","74,78"
   Carne de suíno,"4,07","4,80","2,75","4,67","3,85","3,67",-,"7,09"
   Carnes e peixes industrializados,"24,98","16,89","27,13","26,89","25,78","44,77","36,78","64,58"
   Pescados frescos,"7,94","4,33","9,08","6,87","13,94","18,89","21,35",-
   Outros,"23,08","17,84","29,73","23,78","29,75","14,70","3,32","24,46"
  Aves e ovos,"46,67","37,43","51,96","46,51","58,68","57,06","46,08","64,26"
   Frango,"34,58","29,95","41,51","33,05","40,41","31,47","23,36","41,10"
,,,,,,,,
,,,,,,,,
,,,,,,,,
"Tabela 1.3.11.3 - Despesa monetária e não monetária média mensal familiar, com alimentação,",,,,,,,,
"por classes de rendimento total e variação patrimonial mensal familiar, segundo os tipos de despesa,",,,,,,,,
com indicação do número e tamanho médio das famílias -  Rio Grande do Norte - período 2017-2018,,,,,,,,
,,,,,,,(conclusão),
"Tipos de despesa,
número e tamanho médio
 das famílias","Despesa monetária e não monetária média mensal familiar, com alimentação (R$)                    ",,,,,,,
,Total                                                                           ,Classes de rendimento total e variação patrimonial mensal familiar (1) ,,,,,,
,,Até 1 908        (2),"Mais de
1 908
a
2 862","Mais de
2 862
a
5 724","Mais de
5 724
a
9 540","Mais de
9 540
a
14 310","Mais de
14 310
a
23 850","Mais de
23 850"
   Ovo de galinha,"11,30","7,10","9,73","12,88","14,95","25,26","22,48","23,16"
   Orgânicos,"0,02",-,-,"0,06",-,-,-,-
   Outros,"0,78","0,38","0,72","0,52","3,33","0,33","0,25",-
  Leites e derivados,"58,03","33,54","48,39","60,33","98,27","146,58","98,07","165,80"
   Leite de vaca,"15,63","12,46","14,90","19,98","14,19","18,02","9,96","27,73"
   Leite em pó,"11,17","6,29","9,50","11,74","20,53","25,20","21,92","19,96"
   Queijos,"14,79","6,40","11,03","13,95","26,91","59,35","50,30","32,40"
   Light e diet,"2,11","0,08","0,75","2,11","4,64","12,63","1,73","29,90"
   Orgânicos,"0,03","0,08",-,-,-,-,-,-
   Outros,"14,29","8,23","12,19","12,56","32,00","31,38","14,16","55,81"
  Panificados,"47,13","30,31","44,55","54,74","70,80","66,56","62,25","78,39"
   Pão francês,"15,05","8,55","15,58","19,40","17,79","25,70","19,81","13,41"
   Biscoito,"19,29","15,39","20,15","19,97","26,72","18,72","19,47","27,90"
   Light e diet,"0,21","0,01","0,15","0,33","0,32","0,78","0,21","1,40"
   Outros panificados,"12,58","6,36","8,67","15,04","25,97","21,36","22,77","35,68"
  Óleos e gorduras,"5,54","4,60","4,22","3,94","12,97","9,77","8,55","12,17"
   Óleo de soja,"3,10","3,75","3,12","2,59","2,81","3,88","0,47","2,86"
   Azeite de oliva,"1,73","0,46","0,45","0,76","8,10","5,89","6,14","7,81"
   Outros,"0,71","0,38","0,64","0,59","2,06",-,"1,94","1,50"
  Bebidas e infusões,"37,40","20,51","28,11","41,45","71,57","67,90","68,25","127,30"
   Café moído,"10,61","8,91","8,32","13,64","11,68","7,35","7,91","32,00"
   Refrigerantes,"11,68","5,56","9,80","14,69","18,49","19,38","27,31","28,24"
   Bebidas não alcoólicas light e diet,"0,10",-,-,"0,16","0,10",-,-,"3,78"
   Cervejas e chopes,"4,19","1,37","1,87","3,28","14,96","12,31","14,31","10,83"
   Outras bebidas alcoólicas,"2,45","1,22","2,24","1,39","5,86","9,97","2,83","12,50"
   Outras,"8,37","3,45","5,88","8,29","20,49","18,88","15,89","39,96"
  Enlatados e conservas,"3,96","1,50","2,24","4,26","10,53","11,45","2,76","19,94"
  Sal e condimentos,"9,59","6,35","8,63","9,49","17,32","18,17","12,70","20,21"
   Massa de tomate,"0,14","0,09","0,09","0,14","0,16","0,31","0,43","1,00"
   Maionese,"0,41","0,12","0,18","0,56","1,74",-,-,-
   Sal refinado,"0,40","0,42","0,43","0,31","0,34","0,85","0,49","0,27"
   Outros,"8,64","5,71","7,93","8,48","15,07","17,01","11,78","18,94"
  Alimentos preparados,"21,89","8,67","9,76","31,54","34,02","49,93","91,28","58,36"
  Outros alimentos,"92,56","50,93","104,99","81,81","98,81","237,54","144,82","603,10"
 Alimentação fora do domicílio,"299,64","122,44","187,37","332,12","577,93","522,02","779,67","2285,53"
  Almoço e jantar,"181,42","65,00","96,27","197,71","326,34","298,52","554,55","2050,94"
"  Café, leite, café/leite e chocolate","1,21","0,53","1,21","0,88","1,85","0,57","3,91","16,47"
  Sanduíches e salgados,"22,46","8,95","12,09","27,11","44,94","38,22","122,57","37,52"
  Refrigerantes e outras bebidas não alcoólicas ,"7,71","4,36","6,24","10,36","13,90","5,50","5,75","19,85"
  Lanches,"45,30","19,31","32,47","50,82","98,86","133,67","65,84","110,27"
"  Cervejas, chopes e outras bebidas alcoólicas ","15,13","10,25","7,51","20,11","29,46","37,15","6,18","11,42"
  Alimentação light e diet,"0,05",-,-,"0,13",-,"0,26",-,-
  Outras,"26,35","14,05","31,58","25,00","62,58","8,13","20,88","39,06"
Número de famílias,1 080 432, 343 572, 248 661, 303 471, 108 971, 35 700, 25 818, 14 240
Tamanho médio da família,"3,21","2,84","3,04","3,56","3,50","3,83","3,27","3,70"
,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa de Orçamentos Familiares 2017-2018.",,,,,,,,
"Nota: O termo família está sendo utilizado para indicar a unidade de investigação da pesquisa, unidade de consumo, conforme descrito na Introdução da pesquisa.",,,,,,,,
(1) Inclui os rendimentos monetário e não monetário e a variação patrimonial. (2) Inclusive sem rendimento.,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"

",,,,,,,,
