"Tabela 1.3.18.3 - Despesa monetária e não monetária média mensal familiar, com alimentação,",,,,,,,,
"por classes de rendimento total e variação patrimonial mensal familiar, segundo os tipos de despesa,",,,,,,,,
com indicação do número e tamanho médio das famílias - Espírito Santo - período 2017-2018,,,,,,,,
,,,,,,,(continua),
   Maçã,"1,53","0,62","1,31","1,17","3,16","2,45","4,12","3,03"
   Outras frutas,"7,72","2,21","4,19","6,44","12,11","15,95","38,91","28,31"
"  Carnes, vísceras e pescados","59,76","30,64","47,91","62,50","68,87","120,01","151,41","97,18"
   Carne de boi de primeira,"16,68","4,28","8,88","16,73","24,32","36,20","72,08","47,31"
   Carne de boi de segunda,"10,88","7,81","10,13","13,32","9,72","10,57","22,86","5,17"
   Carne de suíno,"7,33","3,81","5,14","7,43","6,21","27,12","15,22","6,02"
   Carnes e peixes industrializados,"16,26","8,70","17,52","16,61","19,20","29,28","21,53","20,20"
   Pescados frescos,"2,48","1,02","2,16","1,84","3,88","5,31","1,68","16,67"
   Outros,"6,12","5,02","4,09","6,58","5,53","11,53","18,04","1,82"
  Aves e ovos,"20,30","12,37","19,06","22,65","22,69","26,22","32,81","34,75"
   Frango,"14,03","9,43","13,41","16,04","15,37","14,55","16,52","27,07"
,,,,,,,,
,,,,,,,,
,,,,,,,,
"Tabela 1.3.18.3 - Despesa monetária e não monetária média mensal familiar, com alimentação,",,,,,,,,
"por classes de rendimento total e variação patrimonial mensal familiar, segundo os tipos de despesa,",,,,,,,,
com indicação do número e tamanho médio das famílias - Espírito Santo - período 2017-2018,,,,,,,,
,,,,,,,(conclusão),
"Tipos de despesa,
número e tamanho médio
 das famílias","Despesa monetária e não monetária média mensal familiar, com alimentação (R$)                    ",,,,,,,
,Total                                                                           ,Classes de rendimento total e variação patrimonial mensal familiar (1)             ,,,,,,
,,Até 1 908        (2),"Mais de
1 908
a
2 862","Mais de
2 862
a
5 724","Mais de
5 724
a
9 540","Mais de
9 540
a
14 310","Mais de
14 310
a
23 850","Mais de
23 850"
   Ovo de galinha,"4,14","2,56","3,95","4,15","5,10","8,24","3,90","6,21"
   Orgânicos,"0,01",-,"0,05",-,-,-,-,-
   Outros,"2,12","0,38","1,65","2,46","2,22","3,43","12,39","1,47"
  Leites e derivados,"32,28","18,07","22,63","34,56","45,24","59,97","49,85","63,58"
   Leite de vaca,"11,65","6,87","11,06","13,95","14,60","13,22","10,43","13,25"
   Leite em pó,"3,12","3,32","2,94","3,12","3,93","1,78","2,75","1,67"
   Queijos,"7,15","2,84","2,71","7,02","10,57","19,66","22,38","21,50"
   Light e diet,"0,64","0,61","0,17","0,55","0,27","3,20","1,58","0,75"
   Orgânicos,"0,10",-,"0,05",-,"0,52","0,11","0,50",-
   Outros,"9,63","4,43","5,69","9,93","15,35","22,00","12,21","26,42"
  Panificados,"34,85","18,13","26,20","38,30","47,38","55,13","70,29","64,19"
   Pão francês,"15,05","9,40","10,83","17,63","20,15","19,11","24,60","20,88"
   Biscoito,"10,03","5,74","9,13","11,38","11,83","13,54","16,46","14,99"
   Light e diet,"0,23","0,03","0,05","0,14","0,82","0,23","0,32","1,56"
   Outros panificados,"9,55","2,96","6,19","9,14","14,58","22,25","28,92","26,77"
  Óleos e gorduras,"6,44","4,49","5,52","6,20","7,91","10,24","12,57","12,13"
   Óleo de soja,"3,75","3,95","4,65","3,16","4,97","2,45","1,29","1,53"
   Azeite de oliva,"1,78","0,32","0,47","1,73","2,07","5,60","8,30","9,68"
   Outros,"0,91","0,22","0,39","1,31","0,87","2,19","2,97","0,91"
  Bebidas e infusões,"26,09","13,33","13,73","24,27","37,07","57,31","73,75","92,07"
   Café moído,"6,78","5,04","5,79","6,70","8,85","8,28","10,13","15,41"
   Refrigerantes,"5,72","3,05","2,82","6,18","7,80","13,81","9,34","15,21"
   Bebidas não alcoólicas light e diet,"0,25","0,07",-,"0,18","0,11","1,02","2,23","1,37"
   Cervejas e chopes,"7,48","2,25","1,26","6,45","12,88","24,93","33,37","21,66"
   Outras bebidas alcoólicas,"1,50","0,29","0,95","1,13","2,15","1,69","6,90","14,02"
   Outras,"4,37","2,64","2,91","3,63","5,29","7,58","11,77","24,41"
  Enlatados e conservas,"2,63","0,92","1,82","1,87","4,75","6,43","4,66","14,75"
  Sal e condimentos,"7,95","3,75","7,18","8,26","11,36","10,45","19,08","12,92"
   Massa de tomate,"0,21","0,12","0,05","0,41","0,26","0,06",-,-
   Maionese,"0,77","0,14","0,49","0,81","0,89","1,33","4,46","2,39"
   Sal refinado,"0,40","0,36","0,54","0,38","0,37","0,42","0,29","0,31"
   Outros,"6,56","3,14","6,09","6,66","9,84","8,64","14,33","10,21"
  Alimentos preparados,"6,60","2,06","3,18","6,14","9,70","12,31","34,99","21,52"
  Outros alimentos,"55,72","33,24","20,88","70,77","72,23","67,21","100,09","211,14"
 Alimentação fora do domicílio,"145,85","47,64","85,44","144,21","220,45","255,29","377,73","757,30"
  Almoço e jantar,"85,67","26,30","37,39","74,38","130,01","164,96","286,03","616,22"
"  Café, leite, café/leite e chocolate","0,98","0,68","1,01","1,14","0,84","1,60","0,89","0,71"
  Sanduíches e salgados,"11,34","5,36","5,88","13,64","16,05","25,64","20,32","11,29"
  Refrigerantes e outras bebidas não alcoólicas ,"5,23","1,58","2,60","4,62","6,22","17,40","12,87","30,29"
  Lanches,"15,46","7,15","16,74","19,65","16,56","7,24","29,54","27,09"
"  Cervejas, chopes e outras bebidas alcoólicas ","10,90","4,22","4,16","7,93","28,74","16,57","16,33","61,97"
  Alimentação light e diet,"0,01",-,"0,06",-,-,-,"0,10",-
  Outras,"16,26","2,35","17,61","22,85","22,02","21,89","11,66","9,73"
Número de famílias,1 388 002, 323 246, 277 878, 452 909, 182 511, 81 949, 41 641, 27 867
Tamanho médio da família,"2,84","2,41","2,73","3,06","3,14","3,05","2,70","3,21"
,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa de Orçamentos Familiares 2017-2018.",,,,,,,,
"Nota: O termo família está sendo utilizado para indicar a unidade de investigação da pesquisa, unidade de consumo, conforme descrito na Introdução da pesquisa.",,,,,,,,
(1) Inclui os rendimentos monetário e não monetário e a variação patrimonial. (2) Inclusive sem rendimento.,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"

",,,,,,,,
